Voltage (V),Current (A),Brightness Current (A)
-4.010010E+00,-1.664800E-07,+9.06775091E-09
-4.032100E+00,-1.561310E-07,+5.16019322E-09
-4.054400E+00,-1.639170E-07,+1.11379251E-08
-4.076800E+00,-1.782250E-07,+7.39664645E-09
-4.099300E+00,-1.959850E-07,+4.82763511E-09
-4.122000E+00,-2.179180E-07,+1.21716265E-08
-4.144700E+00,-2.425120E-07,+9.59984388E-09
-4.167600E+00,-2.730170E-07,+5.25996065E-09
-4.190700E+00,-3.076920E-07,+6.65947599E-09
-4.213800E+00,-3.463870E-07,+1.39064713E-08
-4.237100E+00,-3.903970E-07,+1.38399597E-08
-4.260500E+00,-4.415510E-07,+1.32385838E-08
-4.284000E+00,-4.989480E-07,+1.41725178E-08
-4.307700E+00,-5.638960E-07,+2.05520907E-08
-4.331500E+00,-6.391070E-07,+2.20874006E-08
-4.355400E+00,-7.218860E-07,+1.97484086E-08
-4.379400E+00,-8.160510E-07,+2.42905980E-08
-4.403600E+00,-9.234760E-07,+2.92651130E-08
-4.428000E+00,-1.043980E-06,+3.58081936E-08
-4.452400E+00,-1.177370E-06,+3.67116431E-08
-4.477000E+00,-1.328030E-06,+4.20187162E-08
-4.501700E+00,-1.495510E-06,+5.01968742E-08
-4.526600E+00,-1.683290E-06,+5.58060208E-08
-4.551600E+00,-1.892560E-06,+6.38844114E-08
-4.576700E+00,-2.121580E-06,+6.97623758E-08
-4.602000E+00,-2.377560E-06,+7.38362126E-08
-4.627400E+00,-2.658350E-06,+8.82581489E-08
-4.653000E+00,-2.968870E-06,+9.93434190E-08
-4.678700E+00,-3.309870E-06,+1.07624116E-07
-4.704500E+00,-3.682870E-06,+1.26920800E-07
-4.730500E+00,-4.089870E-06,+1.30057931E-07
-4.756600E+00,-4.537040E-06,+1.48653472E-07
-4.782900E+00,-5.020440E-06,+1.66348334E-07
-4.809300E+00,-5.543420E-06,+1.90619533E-07
-4.835900E+00,-6.113040E-06,+1.98966741E-07
-4.862600E+00,-6.727470E-06,+2.20901719E-07
-4.889500E+00,-7.392380E-06,+2.45807550E-07
-4.916500E+00,-8.106280E-06,+2.72916578E-07
-4.943600E+00,-8.873470E-06,+2.97021498E-07
-4.970900E+00,-9.699930E-06,+3.22531475E-07
-4.998400E+00,-1.058720E-05,+3.52744379E-07
-5.026000E+00,-1.153470E-05,+3.89334084E-07
-5.053800E+00,-1.255060E-05,+4.22420844E-07
-5.081700E+00,-1.363390E-05,+4.65722680E-07
-5.109700E+00,-1.478860E-05,+4.96570215E-07
-5.138000E+00,-1.602500E-05,+5.37167246E-07
-5.166300E+00,-1.733370E-05,+5.76065459E-07
-5.194900E+00,-1.873280E-05,+6.27379174E-07
-5.223600E+00,-2.021770E-05,+6.79327521E-07
-5.252400E+00,-2.178950E-05,+7.37220344E-07
-5.281400E+00,-2.345490E-05,+7.87902198E-07
-5.310600E+00,-2.522390E-05,+8.44057405E-07
-5.339900E+00,-2.709430E-05,+9.10327921E-07
-5.369400E+00,-2.907230E-05,+9.77432604E-07
-5.399100E+00,-3.116600E-05,+1.04838110E-06
-5.428900E+00,-3.337460E-05,+1.12279652E-06
-5.458900E+00,-3.570590E-05,+1.20532636E-06
-5.489000E+00,-3.816600E-05,+1.28585530E-06
-5.519400E+00,-4.076240E-05,+1.37673512E-06
-5.549800E+00,-4.348310E-05,+1.46093329E-06
-5.580500E+00,-4.635920E-05,+1.56262678E-06
-5.611300E+00,-4.938470E-05,+1.66632671E-06
-5.642300E+00,-5.255900E-05,+1.77699928E-06
-5.673500E+00,-5.590430E-05,+1.88410239E-06
